animalID,cond,mfrON,mfrSUS
BQQ4,async,0.6576744199945784,0.07106509484408852
BQQ4,sync,0.7869516582107176,0.1287150210452404
BRC2,async,0.636708440534607,0.06637338991813233
BRC2,sync,1.0218896406427986,0.2680366908277805
BRC5,async,0.5308517270681788,0.06019593494026146
BRC5,sync,0.9260741367756846,0.3152564835379395
BRD2,async,0.4608996359567497,0.06392816485938531
BRD2,sync,0.8106327962981149,0.21027009576333755
BRN5,async,0.9000422151420424,0.06948065299906965
BRN5,sync,1.2951110422555057,0.29947943093852836
BRO3,async,0.8882557004445738,0.07420223608930288
BRO3,sync,1.1580315719680998,0.2578171911763461
BRO4,async,0.668475458405643,0.04277245011837725
BRO4,sync,0.9930076542109104,0.16918515342894952
BTT3,async,1.0682078677130813,0.1796202916224307
BTT3,sync,1.051571878505029,0.302725186030691
