animalID,cond,mfrON,mfrSUS
BPO5,async,0.8991166399522412,0.20294579032681934
BPO5,sync,0.8123166043676329,0.2670136307728941
BPP1,async,1.4229251893605828,0.34150406194370575
BPP1,sync,1.2760501911401094,0.8664395928035814
BPU4,async,0.8180870297992245,0.06302631665966252
BPU4,sync,0.8934100900505044,0.2558268099790869
BPV4,async,0.9786166280151948,0.15564048700755265
BPV4,sync,0.9696952902098234,0.4000481413606788
BPV5,async,0.81981034317538,0.21545433440424652
BPV5,sync,0.6652660865994091,0.6614005256862798
BQD3,async,0.5276174495008512,0.0382790103702231
BQD3,sync,0.7067813244703558,0.11986648506427544
BQE3,async,1.178987415877704,0.3236383256120029
BQE3,sync,1.093840360635411,0.5254175166412302
